createdAt,อายุ,อาชีพ,สังกัด,ชื่อเล่น,userId
"Jul 12, 2026, 3:16:20 AM",29,ครู,โรงเรียนรุ่งอรุณ,นัท,8d44d0d6-12dd-4ad4-9498-0a65280d77c2
"Jul 12, 2026, 7:47:54 AM",45,ผู้ปกครอง,null,แก้ว,5f1225f8-1099-47ed-ac02-2b9ad8d04afd
"Jul 12, 2026, 3:04:20 AM",23,นักเรียน,ศกร.อำเภอแม่แตง,น้องม่อน,3bc91307-815d-445f-b5b0-da78d7be2959
"Jul 12, 2026, 4:26:31 AM",45,นักการศึกษา,สกร.,เซียมซี,7e949a6a-0138-4cab-9c28-70f361d6e91f
"Jul 12, 2026, 5:29:13 AM",28,ครู,สพม.กท2,หยก,8b5d394f-7ffc-4277-8911-21729509ef36
"Jul 12, 2026, 7:10:06 AM",41,อิสระ,ไม่มีสังกัด,มิกกี้,41837a2b-5ba8-4973-88a7-4206d1eb7035
"Jul 12, 2026, 9:49:58 AM",50,ผู้ปกครอง,null,Jk,81eb3a93-d7e4-4c79-b9ef-66e39997f720
"Jul 12, 2026, 8:11:46 AM",37,พนักงาน,เอกชน,จิ๊ป,ae9f17a8-7fe5-4bba-ad45-84d91ae0d020
"Jul 12, 2026, 4:50:56 AM",19,นักศึกษา,มหาวิทยาลัยราชภัฏสวนสุนันทา,F.,0a84861b-145f-473b-964f-d94d664a5aff
"Jul 12, 2026, 4:38:58 AM",15,นักเรียน,ตอพภ.,พีพี,0c135b8d-840c-4410-ad0e-1464ff0c63ba
"Jul 12, 2026, 8:10:16 AM",45,พนักงานบริษัท,ส่วนตัว,Nan,34829dd6-d24a-406d-81e4-17a15dabe9d8
"Jul 12, 2026, 3:06:27 AM",14,นักเรียน,เซนต์โยเซฟระยอง,กัญญ์,448d86b2-8ebc-4707-b238-ec519fce0e9d
"Jul 12, 2026, 5:28:37 AM",38,นักการศึกษา,Kalasin University,Briize,47605709-6eec-4ce5-b4ef-23c9309e287d
"Jul 12, 2026, 5:31:21 AM",30,ครู,กทม,Foam,4e450ba2-bde1-4711-b752-b2325f7cf18c
"Jul 12, 2026, 4:50:39 AM",20,นักศึกษา (คณะครุศาสตร์),มหาวิทยาลัยราชภัฏสวนสุนันทา,นนท์,5f65d2ca-018d-4419-8fbf-e9e4c46e32e2
